text,label
There is currently no radial pulse detectable.,0
A patient with a fractured arm is currently in pain and requires medical attention. The arm is fractured in two places and is currently immobilized with a cast. The patient is also experiencing swelling and bruising.,1
"I'm experiencing a low-level of pain at the moment. It's not too bad, but it's definitely noticeable.",2
I've been feeling really congested and I've been coughing up a lot of phlegm. My throat has been feeling really sore and it's been hard to sleep at night because of the congestion. My chest has been aching a lot too.,3
"My mom says she feels really hot, like her skin is on fire.",4
The revolution was a success because the people rallied together and made their voices heard.,5
at sceneWe are currently assessing a patient who does not have a radial pulse.,0
"Hi! I'm a 38-year-old female who fell and fractured my arm about 2 weeks ago. At the time of the fall, I heard a loud snap and knew immediately I had fractured my arm. The pain was immediate and severe. I was taken to the ER and had an x-ray which confirmed the fracture.Since the fracture, the pain has decreased a bit but is still pretty significant. I can't use my arm at all and it is very swollen and stiff. It's been really difficult to do anything since I broke my arm, including simple things like bathing and brushing my teeth.I'm scheduled to see a specialist in a few days but am not sure what to expect. I'm really worried that my arm will never be the same. Has anyone else had a fracture like this and if so, what was the outcome? I would really appreciate any advice or information.",1
Description:The patient has been experiencing headaches for the past few days. The headaches are described as a pressure sensation in the forehead and temples. The patient has also been feeling lightheaded and dizzy.,2
"My mother has been feeling a bit under the weather lately. She has a mild headache and a stuffy nose. She's been a bit more tired than usual and her appetite has decreased a bit. She's been taking ibuprofen for her headache and using a saline nasal spray for her stuffy nose. Overall, she's been feeling pretty run down.",3
"Right now, I'm feeling too cold. My hands and feet are really chilly and my teeth are starting to chatter. I'm going to put on a sweater to try and warm up.",4
I'm not sure if I should go to Rome or Barcelona.,5
"I'm having a seizure right now. My body is shaking really hard, and I'm seeing flashes of light. I can't control my muscles, and I'm really scared.",0
symptomsRight now I am feeling really sick. My heart is racing and I am having trouble breathing. I am really scared.,1
"At the moment, we are seeing some small cuts on the patient. We are currently treating them with some disinfectant and bandages. We expect them to recover fully with no long-term complications.",2
My mother has a heart condition and has been hospitalized in the past for a heart attack. She also has high blood pressure and diabetes.,3
I'm in a room that is too bright. The light hurts my eyes.,4
What are your long-term goals?,5
She is currently unresponsive.,0
"My patient's arm is currently in a cast. From what I can tell, the bone is fractured. I'm not sure how the injury happened, but I'm guessing that it was fairly recent. The patient is in a lot of pain and is having a difficult time using the arm.",1
a patient has a small cut on the arma patient has a small nick on the arma patient has a small scrape on the arm,2
"The patient has been having some mild symptoms lately. They've been feeling a bit tired and run down, and their appetite has been a bit off. Overall, they don't feel terrible, but they aren't feeling their best.",3
My aunt is feeling very hot right now. She says that she feels like she is on fire and she can't cool down. She is very uncomfortable and she is trying to get relief from the heat.,4
I don't know how to work a computer.,5
symptomsThe patient is having a hard time breathing.,0
", pain, and pulsingUpon assessment, the patient's left arm is visibly swollen and has multiple broken bones. The patient reports significant pain and a pulsing sensation.",1
"There are currently objects stuck in my loved one's ear, nose, and throat. We are not sure what they are, but they seem to be preventing him from being able to speak or eat properly. He is in a great deal of pain and we are really worried about him. We would appreciate any help you can provide.",2
"There are a few infections I'm currently battling. A sinus infection, a strep throat, and a UTI. All of which are providing their own challenges and frustrations!",3
"She is starving, but can't seem to find anything that sounds good.",4
)I really don't know what to think about politics.,5
".Patient A was brought in to the ER after being stabbed multiple times. The wounds were determined to be fatal, and the patient died soon after arriving.The patient had four main stab wounds. The first was to the chest, just below the clavicle. The second was to the right side of the ribcage. The third was to the liver, and the fourth was to the right ventricle of the heart.",0
"The patient's chest pain is most likely due to a non-cardiac cause. This pain could be due to a variety of things such as a musculoskeletal injury, anxiety, or a respiratory infection. While it is always important to rule out a heart attack, it is likely that the patient's current pain is not caused by a heart problem.",1
"We've encountered a variety of objects lodged in patients' ears, noses and throats, including coins, pencils, chopsticks, and even a small toy car. In each case, we worked to safely remove the object using the appropriate tools and techniques. In some cases, we were able to dislodge the object with a simple maneuver; in others, we needed to use more advanced techniques, such as a microscope and surgical instruments. Regardless of the method we used, our primary concern was always the safety and well-being of the patient.",2
"My mom has been feeling a little under the weather lately. She has a mild cough and a headache. She's been trying to take it easy, but she's been feeling a little restless.",3
"Right now, I'm finding the room to be too loud. I can't really focus on what I'm doing.",4
What are you using to watch that show on Netflix?,5
I was bitten by a poisonous animal.,0
The patient is experiencing chest pain which is likely related to their current condition and is not indicative of a heart attack.,1
"I have a piece of lettuce stuck in my throat, and a piece of wax in my ear.",2
"I've been feeling a bit under the weather lately. I've had a headache, a fever, and a sore throat. But it's been getting better, so I'm hoping that I'll be feeling better soon.",3
"The patient's family member is likely describing how loud the patient's current room is. This could be due to a number of factors, such as many people talking at once, machines making noise, or other environmental factors. It is important to be aware of how loud the patient's current environment is, as this can be a distraction or cause discomfort.",4
I always enjoy spending time with my family.,5
"I have two severed limbs that I'm dealing with at the moment. The first is my left arm, which I severed a little below the elbow. The second is my right leg, which I severed a little below the knee.My left arm is the bigger challenge at the moment. I have to keep the wound clean and dry, and I have to be careful not to move it too much, which is difficult because it's my dominant arm. I'm also having a lot of trouble with my mobility and dexterity, which is making it difficult to do basic things like brushing my teeth or cooking.My right leg is a bit easier to deal with. I just have to keep the wound clean and dry, and I'm using a wheelchair to get around. I'm not having as much trouble with dexterity and mobility, but I am having some pain in the leg.",0
The patient has a broken arm. It is swollen and bruised. The patient is in pain and has difficulty using the arm.,1
"I have had a headache for the past two days. It is a throbbing sensation that is located in my temples. The pain is moderate to severe and it is aggravated by physical activity. I have tried acetaminophen and ibuprofen, but they have not provided relief.",2
"symptomsI have difficulty having a bowel movement and when I do, it is very hard and painful. My abdomen feels bloated and I have a lot of gas.",3
The patient is currently in need of medication to help with their anxiety.,4
"I am so close to my goal weight, I just need to maintain for a little bit!",5
statusSome of the rescue workers are describing the patient's current asthma status. One worker says that the patient is currently having an asthma attack and is not responding to medication. Another worker says that the patient's asthma is currently under control.,0
:-Fracture of the femur-Fracture of the humerus- fracture of the tibia- fracture of the fibula,1
My patient sprained their ankle last night. They say it's really painful and difficult to walk on.,2
"My throat has been feeling sore for a couple of days now, and it's been a little difficult to swallow. My temperature has been normal, but I've been feeling a little fatigued.",3
"My patient feels like she is always cold and often complains of being chilly. Even when the room temperature is warm, she is always bundled up in a lot of blankets.",4
"Is that a football?Yes, it is.",5
Your pulse is undetectable.,0
situationMy patient's electrical burn is currently in the process of healing. The skin is starting to look better and the patient has not had any complaints of discomfort or pain.,1
"and strainsI've been having a lot of pain in my ankle lately. I think I might have sprained it. I've also been having a lot of pain in my back, especially when I'm trying to sleep at night. I think I might have strained it.",2
"My mom has been feeling really sick lately. She has a fever and she's been having a lot of trouble breathing. She's been going to the doctor a lot and they've been doing a lot of tests, but they still don't know what's wrong with her. I think she might have an infection.",3
My dad says he's feeling really hot and flushed and his heart is racing.,4
I like to ski and play tennis.,5
"Patient is currently experiencing significant bleeding. There is blood all over the bed and floor, and the patient is becoming increasingly pale and weak.",0
The patient is complaining of pain and difficulty moving her arm. She reports that she fell and broke her arm. Her arm is currently fractured in two places.,1
"Hi, I'm a 28-year-old male with small, red burns on my arms. The pain isn't too bad, but it's a little itchy. I think I got them from accidentally touching a hot pan.I'd recommend keeping the area clean and covered to help it heal. Over-the-counter ibuprofen can help with any inflammation or pain.",2
nessI feel like I have a fever. I'm really hot and my skin feels really warm. I also feel really tired and my muscles are aching.,3
It sounds like your patient is in a very bright room. This could be disturbing and uncomfortable for them.,4
"Hey, what's the score?",5
", neck and upper bodyDear Health Care Provider,I am writing to you because I am currently suffering from severe burns on my face, neck and upper body. This has been a very traumatic experience for me, and I am in a lot of pain. I would really appreciate it if you could help me to get the medical care that I need.Thank you for your time,[Your name]",0
The patient's arm is currently fractured and in a cast. The patient is in a lot of pain and is having a hard time using the arm.,1
"There are numerous objects that can be lodged in the ear, nose, or throat, including insects, food, and other debris. Some objects may be easy to remove, while others may require medical attention.Foreign objects in the ear can cause pain, hearing loss, and infection. If a foreign object is lodged in the ear, the patient should tilt their head to the side to allow the object to fall out. If the object does not fall out, the patient should use a water-soaked cotton ball to try to remove it. If the object cannot be removed, the patient should seek medical attention.Foreign objects in the nose can cause obstruction, difficulty breathing, and infection. If a foreign object is lodged in the nose, the patient should try to remove it using a water-soaked cotton ball. If the object cannot be removed, the patient should seek medical attention.Foreign objects in the throat can cause obstruction, difficulty breathing, and infection. If a foreign object is lodged in the throat, the patient should try to remove it using a water-soaked cotton ball. If the object cannot be removed, the patient should seek medical attention.",2
"My mother has been feeling under the weather lately. She has a mild cold and a bit of a headache. She's been trying to rest and drink plenty of fluids, but it's been difficult because she's been feeling pretty run down.",3
My patient really needs a bath right now.,4
What country is it in?It's in Europe.,5
"”A large open wound on the patient's leg is bleeding and appears to be quite deep. There is significant swelling around the wound, and it is unclear how long it has been bleeding. The wound is at risk for infection, and the patient will need to be monitored closely.",0
"Patient is experiencing chest pain that is pleuritic in nature, meaning that it is sharp and worsened by breathing. The patient has no evidence of a heart attack.",1
My mother was involved in a minor car accident and hit her head. She was taken to the ER and they did a CT scan which showed she had a minor head injury. She has been complaining of a headache and has been a little dizzy. The doctors have told her to rest and drink lots of fluids.,2
The patient has been coughing a lot lately and it is causing them a lot of discomfort. It seems like the cough is getting worse and they are having a hard time breathing.,3
The room is too bright and it is difficult to sleep.,4
What do you think about the new Star Wars movie?I think it was pretty good.,5
"Right now, I feel like I'm not really here. I'm just kind of...floating. I can't really focus on anything, or concentrate on anything. It's like my brain is just foggy.",0
"injuryMy patient was just burned by electricity and is in a lot of pain. We're not sure how bad the burn is yet, but we're hoping it's not too serious.",1
"I sprained my ankle a few days ago and it's still really painful. Every time I step on it, it feels like there's a knife stabbing me. I've been putting ice on it and taking ibuprofen, but it's not getting much better.",2
"Hello. I am currently experiencing some lower back pain. The pain is not constant, but comes and goes. It's definitely worse when I'm sitting down or standing for a long time. I've also been having some trouble sleeping because of the pain.",3
"I feel a gnawing hunger in my stomach that persists despite my best efforts to ignore it. I snack on healthy foods throughout the day, but the hunger never goes away. It's difficult to concentrate on anything else when I am so focused on satisfying this intense craving.",4
"In 1066, William the Conqueror invaded England and won the Battle of Hastings, thus beginning the Norman dynasty.",5
A 39-year-old male was fatally shot in the chest. He was pronounced dead at the scene.A 30-year-old male was fatally shot in the head. He was pronounced dead at the scene.A 27-year-old male was fatally shot in the chest. He was pronounced dead at the scene.A 23-year-old male was fatally shot in the head. He was pronounced dead at the scene.,0
Patient has a broken arm. She is in a lot of pain and is not able to move her arm.,1
"ankleHi, my patient has a current ankle sprain. What are some things I can do to help them?There are a few things you can do to help your patient with a current ankle sprain. First, make sure they stay off of their ankle as much as possible. This includes limiting their walking as much as possible. You can also help them ice their ankle regularly. This will help to reduce the swelling and pain. Additionally, you can help them wrap their ankle with an elastic bandage to help support it.",2
The patient has undergone multiple surgeries in the past for medical issues including a surgery to repair a broken rib. The patient has also experienced a concussion and a stroke.,3
My patient is very thirsty and requesting fluids frequently.,4
"What do you think of 4K TVs?I haven't seen one in person, but they're supposed to be really great.",5
A patient has been bitten by a venomous animal. The patient's current condition is unknown.,0
"This patient's chest pain may be related to a number of issues, such as GERD, a lung infection, or a muscle strain. However, without more information it is difficult to say for certain. If the chest pain is severe, lasts for more than a few minutes, or is accompanied by other symptoms such as shortness of breath or dizziness, it is important to seek medical attention right away.",1
"I have been having headaches all day. They are located mainly in my temples, and they are aching and throbbing. The pain is worsened by any kind of movement or bright light.",2
It's been a few days now and the pain is just getting worse and worse. It's really hard to move around and do anything. We've tried using a heating pad and taking ibuprofen but it's just not helping.,3
;I need someone to come help me clean up my apartment. It's a mess and I can't do it by myself.,4
"What do you think of the new Star Wars movie?I haven't seen it yet, but I'm really looking forward to it.",5
This is a very large open wound on patient's leg. It is approximately 8 inches long and 6 inches wide. The wound is gaping open and there is a lot of drainage coming from it. The skin around the wound is red and swollen. Patient is in a lot of pain and is very uncomfortable.,0
"We're seeing a lot of dehydration, often because patients are not drinking enough fluids and are vomiting from the chemo. They can also be losing a lot of blood, so they can become very dehydrated very quickly.One patient I had was so dehydrated that her skin was taut and her eyes were sunken in. She was barely responding and was very weak.When patients are dehydrated, their body is not able to function as well as it should. This can lead to a number of problems, including difficulty breathing, increased heart rate, and even seizures.We're really seeing the effects of dehydration in our patients now. It's important that they drink plenty of fluids and stay hydrated, especially with the heat wave we're experiencing.",1
"My dad has a few minor burns on his arm from when he was cooking. They're not too bad, but they're a little bit uncomfortable and itchy.",2
.I'm feeling a little bit sick right now. I have a headache and my throat is a little sore.,3
"Right now I feel really cold and my teeth are even chattering a little bit. I'm wearing a heavy sweater, a coat, and a scarf, but I'm still feeling really cold.",4
Culture is a way of life that is shared by a group of people.,5
"Hi, I'm the patient's family member. Our loved one has a large open wound that is currently not healed. We're really hoping that it will start to improve soon.",0
"Right now, our patient is severely dehydrated. She is very weak and is having difficulty breathing. Her skin is dry and cracked, and she is having trouble keeping down food and water. We are doing everything we can to rehydrate her and keep her comfortable.",1
patient has been bitten by a spider.,2
"My mom has been having a really bad sore throat for a few days now. She says it hurts to swallow and that her throat is really sore. She's been drinking a lot of water and gargling with salt water, but the sore throat doesn't seem to be getting any better.",3
I need help with a severe mess in my home. I can't seem to get it clean on my own.,4
The capital of Turkey is Ankara.,5
"The patient is currently being poisoned by a substance that has made them very ill. They are experiencing a variety of symptoms, including nausea, vomiting, and diarrhea. The patient is very weak and has difficulty breathing.",0
The patient overdosed on heroin and is currently unresponsive.,1
"Patient is complaining of a constant, dull headache.Patient has a constant headache that is not going away.Patient has a headache that is present all the time and has been getting worse.",2
and chest painI have been coughing a lot for the past few weeks and it has been really hard to catch my breath. My chest has also been hurting a lot and it feels like someone is squeezing my heart.,3
患者の家族が患者の現在の部屋が too loud であることを言及しています。The patient's family member says that the patient's current room is too loud.,4
I'm really close with my cousins.,5
The patient was bitten by a poisonous snake.,0
"I sustained severe burns on my chest, abdomen, and both of my legs. The pain is unbearable and the area is covered in blisters.",1
She says that her headaches come on suddenly and are very severe. She has a lot of pressure in her head and her neck hurts a lot too. Sometimes the headaches are so bad that she can't do anything other than lay in a dark room until they go away.,2
"I have a lot of lower back pain. It usually feels like a dull ache, but it can get really bad at times. The pain is worse when I move or twist my back, and it's been getting worse over the past few months.",3
Currently the room is too loud for me to focus on my work. I can't hear the person I'm speaking to on the phone and I'm having trouble concentrating.,4
What do you think of the new Star Wars movie?I really enjoyed it! I thought it was a great addition to the series.,5
statusThe patient is experiencing respiratory distress and has difficulty breathing.,0
X-ray and examination revealed that the patient had a dislocation of her right shoulder.,1
The patient is currently experiencing minor pain.,2
"It sounds like your loved one is coughing a lot. This could be a sign of a respiratory infection, such as a cold or the flu. Coughing can also be a side effect of certain medications. If your loved one is coughing a lot, be sure to speak with their doctor to get a diagnosis and treatment plan.",3
I cannot focus on my work with this much noise going on. It is too loud in here!,4
She doesn't think Trump is going to be a good president.,5
"Hello, my name is Alicia and I'm currently a para-professional in a hospital. I have severed limbs which I need to care for. I'm looking for a way to make this process a little bit easier on myself. Do you have any tips?",0
My aunt is currently in the hospital with a fractured leg. She fell down the stairs a few days ago and was taken to the ER. X-rays revealed that she had a fracture in her femur. The doctor put her in a cast and she's been in the hospital ever since. She's in a lot of pain and she's been having a hard time walking.,1
and goal of comfortThis patient is currently experiencing a low-level of pain and our goal is to provide comfort.,2
"I've been having diarrhea for a few days now. It comes and goes, but it's really uncomfortable. The worst part is that it's making me really tired.",3
"I'm hungry right now because I haven't had anything to eat since breakfast. I really want something to eat right now, but I'm trying to resist the temptation.",4
I read about that in history class.,5
I have lost all sense of time and place. I cannot focus on anything and feel very detached from my surroundings.,0
"I am currently nursing a fractured arm. The break is in my left arm, near my elbow. The doctor said it is a simple fracture, but it is still very painful. I can't use my arm at all and I am on crutches. I am having a hard time getting around.",1
"The patient is currently displaying small burns on their skin. The burns do not appear to be too serious, but they should be monitored closely in case they worsen.",2
"I've been coughing a lot lately, to the point that it's really disrupting my daily life. I'm finding it hard to go to work, or even just go about my day because of how much I'm coughing. Has anyone else been experiencing this?",3
I'm sorry to hear that your room is too dark. Can you please try to adjust the light or ask the nursing staff to help you?,4
I don't know what you're talking about.,5
Patient is short of breath with pursed lips and a slightly open mouth. Appears to be working hard to breathe.,0
"Her leg is broken, obviously. She can't put any weight on it. We're not sure how bad the break is, but the doctor is going to do an x-ray to find out.",1
".She complains of a constant, steady headache. It is not severe, but it is there all the time.",2
"Hi, my name is Jane, and I am currently experiencing a lot of coughing. It's been going on for a few weeks now, and it's really starting to get on my nerves. Every day, it seems like I'm coughing up a lung. I've tried over the counter medications, but they don't seem to be doing much. I'm really not sure what to do at this point. Does anyone have any advice?",3
The patient is currently feeling too hot and sweaty.,4
She is from the United States.,5
We can't even begin to understand what this must be like for you. It is so hard to see your loved one like this. His arms and legs were amputated after he was involved in a terrible accident. It is so hard to see him like this and not be able to do anything to help him. We just hope that he can recover and regain some quality of life.,0
A patient with third-degree burns covering 60 percent of his body is in critical condition and fighting for his life.,1
"I have a few bumps and bruises from the fall, but I'm mostly okay. I've got a nasty cut on my arm and a big bump on my head, but I don't think anything is broken. My ankle is a little sore, but I'll be able to walk on it.",2
